stage,epoch,train_loss,val_macro_f1,val_accuracy,lr
head,1,0.8463020873781189,0.7878385954887832,0.8021390374331551,0.001
head,2,0.6198830589047807,0.8249851047547714,0.8377896613190731,0.001
finetune,1,0.4162620749743548,0.94874710958378,0.9518716577540108,0.0002
finetune,2,0.3266264450577442,0.9737369957373742,0.9750445632798574,0.0002
finetune,3,0.2944503099569949,0.9691813715879136,0.9714795008912656,0.0002
finetune,4,0.2678218136877163,0.9752919483484552,0.9768270944741532,0.0002
finetune,5,0.2768912084611573,0.9731241837101088,0.9750445632798574,0.0002
finetune,6,0.2452693709044759,0.9654452110679356,0.9679144385026738,0.0002
finetune,7,0.2450799175182552,0.9617778505757764,0.964349376114082,6e-05
finetune,8,0.2311589707262021,0.9749772684578828,0.9768270944741532,6e-05
